metadata,question,answer
"{'topic': 'Sports', 'answer_type': 'Place', 'urls': ['https://dailytimes.com.pk/531706/pakistans-notable-sports-personalities-who-left-us-in-2019/', 'https://en.wikipedia.org/wiki/Abdul_Hamid_(field_hockey)#:~:text=Died,%2C%20Punjab%2C%20Pakistan', 'https://www.thenews.com.pk/print/497284-hockey-icon-brig-hamidi-passes-away', 'https://www.nation.com.pk/12-Jul-2019/brig-hamidi-passes-away-at-cmh-rawalpindi']}",In which city did Pakistan hockey’s icon Brig. (r) Abdul Hamid Hamidi take his last breath?,Rawalpindi
"{'topic': 'Other', 'answer_type': 'Number', 'urls': ['https://en.wikipedia.org/wiki/Vampire_number', 'https://en.wikipedia.org/wiki/Vampire_number', 'https://www.geeksforgeeks.org/vampire-number/', 'https://www.shyamsundergupta.com/Vampire.htm']}",What is the third vampire number in recreational mathematics?,1435
"{'topic': 'Science and technology', 'answer_type': 'Person', 'urls': ['https://en.wikipedia.org/wiki/V._M._Goldschmidt_Award', 'https://en.wikipedia.org/wiki/V._M._Goldschmidt_Award', 'https://www.geochemsoc.org/honors/awards/vmgoldschmidtaward', 'https://en.wikipedia.org/wiki/Miriam_Kastner']}",Who was awarded the V. M. Goldschmidt Award in 2015?,Miriam Kastner
"{'topic': 'Science and technology', 'answer_type': 'Person', 'urls': ['https://en.wikipedia.org/wiki/John_J._Carty_Award_for_the_Advancement_of_Science', 'https://www.nasonline.org/programs/awards/john-j-carty-award.html', 'https://en.wikipedia.org/wiki/John_J._Carty_Award_for_the_Advancement_of_Science', 'https://en.wikipedia.org/wiki/Marina_Ratner']}",Who was awarded the John J. Carty Award for the Advancement of Science in 1994?,Marina Ratner
"{'topic': 'Other', 'answer_type': 'Person', 'urls': ['https://fatimasydow.co.za/2019/09/03/the-journey/', 'https://www.instagram.com/fatima_sydow_cooks/p/CzicRzLtaz-/?img_index=1', 'https://www.facebook.com/photo.php?fbid=914973819986471&id=100044215850107&set=a.201985141285346', 'https://www.womanandhomemagazine.co.za/today-on-woman-and-home/fatima-sydows-family-confirms-news-of-her-passing/']}",What is the name and surname of the late celebrity chef Fatima Sydow's birth mother?,Waseela Sydow.
"{'topic': 'Art', 'answer_type': 'Date', 'urls': ['https://en.wikipedia.org/wiki/Zanele_Muholi#Awards', 'https://gallatin.nyu.edu/utilities/events/2016/02/zanelemuholi.html', 'http://www.neofundi.com/profiles/blogs/glamour-women-of-the-year-2013', 'https://en.wikipedia.org/wiki/Zanele_Muholi']}",What year did Glamour Magazine first name Zanele Muholi 'Campaigner of the Year'?,2013
"{'topic': 'Science and technology', 'answer_type': 'Date', 'urls': ['https://en.wikipedia.org/wiki/Mediumwave_transmitter_Lopik', 'https://en.wikipedia.org/wiki/Mediumwave_transmitter_Lopik#:~:text=The%20Mediumwave%20transmitter%20Lopik%20was,Radio%20Maria%20on%20675%20kHz.', 'https://www.routeyou.com/en-nl/location/view/50580759/mediumwave-transmitter-lopik']}","On what day, month, and year was the Mediumwave transmitter Lopik, a medium-wave broadcasting facility near Lopik in the Netherlands, closed down?",1 September 2015
"{'topic': 'Video games', 'answer_type': 'Other', 'urls': ['https://outlast.fandom.com/wiki/Eddie_Gluskin/Dialogues', 'https://www.imdb.com/title/tt3388490/characters/nm2068286', 'https://horror-games.fandom.com/wiki/Eddie_Gluskin_(Outlast:_Whistleblower)#:~:text=A%20dying%20Eddie%20uses%20his,on%20the%20bar%2C%20killing%20him.', 'https://outlast.fandom.com/wiki/Eddie_Gluskin/Dialogues']}",What were Eddie Gluskin's last words in the Whistleblower DLC for the 2013 video game Outlast?,We could have been beautiful
"{'topic': 'Art', 'answer_type': 'Person', 'urls': ['https://archives.nypl.org/dan/18602', 'https://archives.nypl.org/dan/18602#:~:text=Board%20members%20were%20also%20expected,of%20running%20the%20dance%20company.', 'https://www.mercecunningham.org/themes/default/db_images/documents/Merce_Legacy_Plan.pdf', 'https://www.nytimes.com/1994/11/01/arts/foundation-head-resigns.html']}",What were the first and last names of the Cunningham Dance Foundation's first executive director?,Art Becofsky
"{'topic': 'Geography', 'answer_type': 'Place', 'urls': ['https://en.wikipedia.org/wiki/Comair_(South_Africa)#kulula.com', 'https://en.wikipedia.org/wiki/Comair_(South_Africa)', 'https://www.dc-3.co.za/dc-3-individual-aircraft-history/cn-19484.html', 'https://www.baaa-acro.com/crash/crash-douglas-c-47a-75-dl-graskop']}","What is the name of the small town near which the Douglas C-47A ZS-EJK, operated by Comair Ltd, crashed into a mountain in October 1982?",Graskop
"{'topic': 'Music', 'answer_type': 'Place', 'urls': ['https://de.wikipedia.org/wiki/Rheinenergiestadion', 'https://www.setlist.fm/setlist/die-arzte/2006/rheinenergiestadion-cologne-germany-6bd6f6f6.html', 'https://www.show-hire.de/en/projects/', 'https://www.tourdatenarchiv.de/setlist/65/01/Einzelgigs/K-ln-Rhein-Energie-Stadion-br-small-rzte-statt-B-ller-small-/']}",In which stadium did Die Ärzte play on New Year's Eve 2006?,RheinEnergieStadion
"{'topic': 'History', 'answer_type': 'Date', 'urls': ['https://en.wikipedia.org/wiki/Sing_Sing', 'https://en.wikipedia.org/wiki/Sing_Sing#:~:text=In%201943%2C%20the%20old%20cellblock,it%20judged%20every%20correctional%20facility.', 'https://www.crimelibrary.org/notorious_murders/famous/sing_sing/13.html', 'https://www.correctionhistory.org/auburn&osborne/bighouse5.htm']}",In what year was the Sing Sing Correctional Facility accredited for the first time?,1989
"{'topic': 'Geography', 'answer_type': 'Date', 'urls': ['https://en.wikipedia.org/wiki/Venecia,_Antioquia', 'https://en.wikipedia.org/wiki/Venecia,_Antioquia', 'http://repositorio.gestiondelriesgo.gov.co/handle/20.500.11762/29955#:~:text=Venecia%20fue%20fundada%20en%20el,ciudad%20de%20Medell%C3%ADn%2C%20su%20capital.', 'https://www.puebliandoporantioquia.com.co/subregion-suroeste/municipio-venecia/']}","What year was the municipality of Venecia, Antioquia, Colombia, founded?",1898
"{'topic': 'Geography', 'answer_type': 'Place', 'urls': ['https://en.wikipedia.org/wiki/Michael_Creutz', ""https://en.wikipedia.org/wiki/Michael_Creutz#:~:text=Creutz%20was%20born%20in%201944,the%20time%20of%20Michael's%20birth."", 'https://www.aip.org/history-programs/niels-bohr-library/oral-histories/46986']}",In which state of the U.S. was Michael John Creutz born in 1944?,New Mexico
"{'topic': 'Science and technology', 'answer_type': 'Date', 'urls': ['https://mathshistory.st-andrews.ac.uk/Biographies/Flajolet/', 'https://www.inria.fr/en/philippe-flajolet-recompense-a-titre-posthume#:~:text=Awarded%20the%20Grand%20prix%20Scienceby,2010%2C%20the%20career%20of%20this', 'https://mathshistory.st-andrews.ac.uk/Biographies/Flajolet/', 'https://www.mat.univie.ac.at/~slc/divers/flajolet/index.html']}",In what year was Philippe Flajolet awarded the Grand Prix Scientifique by the Union des Assurances de Paris?,1986
"{'topic': 'Politics', 'answer_type': 'Date', 'urls': ['https://digitallibrary.un.org/record/111955/?ln=en&v=pdf', 'https://en.wikipedia.org/wiki/United_Nations_Security_Council_Resolution_47', 'http://unscr.com/en/resolutions/47']}","On what day, month, and year did the United Nations Security Council pass its first resolution on Kashmir?",21 April 1948
"{'topic': 'TV shows', 'answer_type': 'Person', 'urls': ['https://en.wikipedia.org/wiki/Nobita_Nobi', 'https://en.wikipedia.org/wiki/List_of_Doraemon_characters#:~:text=Nobiru%20Nobi%20(%E9%87%8E%E6%AF%94%20%E3%81%AE%E3%81%B3%E3%82%8B%2C%20Nobi,he%20loved%20him%20very%20much.', 'https://doraemon.fandom.com/wiki/Nobiru_Nobi', 'https://en.wikipedia.org/wiki/Nobita_Nobi']}",What is the name of Nobita Nobi's paternal grandfather?,Nobiru Nobi
"{'topic': 'Other', 'answer_type': 'Date', 'urls': ['https://en.wikipedia.org/wiki/Noetic_Learning_math_contest', 'https://en.wikipedia.org/wiki/Noetic_Learning_math_contest', 'https://admissionsight.com/noetic-learning-math-contest/', 'https://www.noetic-learning.com/about.jsp']}",In what year was the Noetic Learning Math Contest founded by Li Kelty?,2007.
"{'topic': 'Art', 'answer_type': 'Other', 'urls': ['https://parks.canada.ca/culture/~/~/link.aspx?_id=366DD701BFC5485FBD32A72E5D4F00B4&_z=z', 'https://parks.canada.ca/culture/designation/lieu-site/wasyl', 'https://www.mennotoba.com/wasyl-negrych-homestead/,']}",What style are the roofs of the ten buildings at the Wasyl Negrych Homestead?,long-shingled Carpathian roof
"{'topic': 'Science and technology', 'answer_type': 'Date', 'urls': ['https://en.wikipedia.org/wiki/Mohamed_bin_Zayed_University_of_Artificial_Intelligence', 'https://en.wikipedia.org/wiki/Mohamed_bin_Zayed_University_of_Artificial_Intelligence#:~:text=The%20current%20president%2C%20Professor%20Eric,as%20the%20founding%2C%20interim%20president.', 'https://mbzuai.ac.ae/news/mbzuai-appoints-world-renowned-leading-ai-academic-professor-dr-eric-xing-as-president/']}",In what month and year did Eric Xing join the Mohamed bin Zayed University of Artificial Intelligence?,January 2021
"{'topic': 'Video games', 'answer_type': 'Person', 'urls': ['https://www.behindthevoiceactors.com/video-games/The-Legend-of-Heroes-Trails-of-Cold-Steel/japanese-cast/', 'https://www.behindthevoiceactors.com/video-games/The-Legend-of-Heroes-Trails-of-Cold-Steel/Jusis-Albarea/', 'https://www.behindthevoiceactors.com/Shinnosuke-Tachibana/', 'https://en.wikipedia.org/wiki/Shinnosuke_Tachibana']}","Who is the Japanese voice actor for Jusis Albarea in ""Trails of Cold Steel 1""?",Shinnosuke Tachibana
"{'topic': 'Video games', 'answer_type': 'Date', 'urls': ['https://warcraft.wiki.gg/wiki/Totemic_Focus_(Classic)', 'https://warcraft.wiki.gg/wiki/Totemic_Focus_(Classic)', 'https://wowpedia.fandom.com/wiki/Totemic_Focus_(Classic)']}",In what patch was the classic version Shaman class ability Totemic Focus removed in World of Warcraft?,Patch 5.0.4
"{'topic': 'Politics', 'answer_type': 'Person', 'urls': ['https://en.wikipedia.org/wiki/Indira_Gandhi_National_Open_University', 'https://en.wikipedia.org/wiki/Indira_Gandhi_National_Open_University#', 'http://www.ignou.ac.in/upload/convocationall.htm']}","Who was the chief guest of the first convocation of Indira Gandhi National Open University, New Delhi, held in 1989?",Rajiv Gandhi
"{'topic': 'Politics', 'answer_type': 'Date', 'urls': ['https://web.archive.org/web/20181215134228/http://nationalgreenhighway.org/introduction-to-nghm', 'https://everainglobal.com/partner-details.php?id=33', 'https://en.wikipedia.org/wiki/National_Highways_Authority_of_India#:~:text=The%20Ministry%20of%20Road%20Transport%20and%20Highways%20(MoRTH)%2C%20Government,sustainable%20environment%20and%20inclusive%20growth.', 'https://www.thehindu.com/news/national/govt-launches-green-highways-policy/article7702950.ece']}","On which day, month, and year did the Ministry of Road Transport and Highways (MoRTH), Government of India, promulgate the Green Highways (Plantations, Transplantations, Beautification and Maintenance) Policy – 2015?",September 29 2015
"{'topic': 'Geography', 'answer_type': 'Date', 'urls': ['https://en.wikipedia.org/wiki/Alexandra_Palace', 'https://en.wikipedia.org/wiki/Alexandra_Palace#:~:text=In%202013%2C%20Alexandra%20Park%20was,for%20Nature%20Conservation%2C%20Grade%201.', 'https://kids.kiddle.co/Alexandra_Palace', 'https://secret-traveller.com/2015/09/30/secret-bits-london-alexandra-palace-park/']}",In which year was Alexandra Park declared a local nature reserve?,2013
"{'topic': 'Geography', 'answer_type': 'Other', 'urls': ['https://en.wikipedia.org/wiki/Typhoon_Wutip_(2019)', ""https://en.wikipedia.org/wiki/2019_Pacific_typhoon_season#:~:text=The%20season's%20first%20typhoon%2C%20Wutip,February%20in%20the%20Northern%20Hemisphere."", 'https://en.wikipedia.org/wiki/Typhoon_Wutip_(2019)', 'https://www.wunderground.com/cat6/Early-Start-2019-Typhoon-Season-Category-2-Wutip-Heads-Towards-Guam']}",What's the first typhoon of the 2019 Pacific typhoon season called?,Wutip
"{'topic': 'Science and technology', 'answer_type': 'Date', 'urls': ['https://en.wikipedia.org/wiki/Database', 'https://en.wikipedia.org/wiki/Database#1970s,_relational_DBMS', 'https://courses.aiu.edu/DATABASE%20SYSTEMS%20AND%20KNOWLEDGE%20MANAGEMENT/SEC%208/SEC%208.pdf', 'https://wiki.edunitas.com/IT/en/114-10/MICRO-Information-Management-System_11455_eduNitas.html']}",What year did the University of Michigan begin development of the MICRO Information Management System based on D.L. Childs' Set-Theoretic Data model?,1970
"{'topic': 'Sports', 'answer_type': 'Number', 'urls': ['https://en.wikipedia.org/wiki/Italy_at_the_1964_Winter_Olympics', 'https://en.wikipedia.org/wiki/Italy_at_the_1964_Winter_Olympics', 'https://www.olympedia.org/countries/ITA']}",How many competitors did Italy bring to the 1964 Winter Olympics? How many of them were male and female?,"61. 53 male, 8 female."
"{'topic': 'Sports', 'answer_type': 'Number', 'urls': ['https://enzoferrari18.weebly.com/enzo-ferrari-father-of-ferrari.html', 'https://en.wikipedia.org/wiki/Enzo_Ferrari#:~:text=When%20he%20was%2010%20he%20witnessed%20Felice%20Nazzaro%27s%20win%20at%20the%201908%20Circuito%20di%20Bologna%2C%20an%20event%20which%20inspired%20him%20to%20become%20a%20racing%20driver.', 'https://www.imdb.com/name/nm0274060/bio/#:~:text=At%20the%20age%20of%2010%20Enzo%20saw%20several%20car%20races%20in%20the%201908%20Circuit%20di%20Bologna%2C%20and%20he%20decided%20to%20become%20a%20race%20car%20driver.', 'https://www.biography.com/athlete/enzo-ferrari#:~:text=The%20second%20child%20of%20parents%20Adalgisa%20and%20Alfredo%2C%20who%20was%20a%20metal%20worker%2C%20Ferrari%20was%20bitten%20by%20the%20racing%20bug%20at%20age%2010%2C%20when%20his%20dad%20took%20him%20to%20watch%20a%20motor%20car%20race%20in%20Bologna.']}",At what age did Enzo Ferrari (founder of Ferrari) decide to pursue racing?,10
"{'topic': 'TV shows', 'answer_type': 'Person', 'urls': [""https://en.wikipedia.org/wiki/Snatch_Game#:~:text=Tatianna%20(left)%20won%20on%20season,Mo'Nique%20(right)."", 'https://en.wikipedia.org/wiki/Snatch_Game', 'https://www.youtube.com/watch?v=oPtRyHM3c7Q', 'https://en.wikipedia.org/wiki/Tatianna']}",Who won Season 2 Snatch Game on RPDR?,Tatianna
"{'topic': 'Science and technology', 'answer_type': 'Number', 'urls': ['https://en.wikipedia.org/wiki/Solanum_albidum', 'https://en.wikipedia.org/wiki/Solanum_albidum#:~:text=It%20can%20be%20either%20a,%E2%80%930.59%20in)%20in%20diameter.', 'https://www.mindat.org/taxon-2931564.html', 'https://solanaceaesource.myspecies.info/content/solanum-albidum']}",Solanum albidum grows dull yellow berries that are between 0.31 inches and what inches in diameter?,0.59
"{'topic': 'Art', 'answer_type': 'Date', 'urls': ['https://kettererkunst.com/bio/AlexejvonJawlensky-1864-1941.php', 'https://en.wikipedia.org/wiki/Alexej_von_Jawlensky#:~:text=Expelled%20from%20Germany%20in%201914,his%20in%20the%20United%20States.', 'https://kettererkunst.com/bio/AlexejvonJawlensky-1864-1941.php', 'https://kettererkunst.com/bio/AlexejvonJawlensky-1864-1941.php']}",In what year was Alexej von Jawlensky expelled from Germany?,1914.
"{'topic': 'Other', 'answer_type': 'Person', 'urls': ['https://en.wikipedia.org/wiki/Motaz_Azaiza', 'https://en.wikipedia.org/wiki/Motaz_Azaiza#:~:text=Motaz%20Hilal%20Azaiza%20(Arabic%3A%20%D9%85%D8%B9%D8%AA%D8%B2,a%20Palestinian%20photojournalist%20from%20Gaza.', 'https://www.gqmiddleeast.com/culture/voices-for-motaz-azaiza']}","What is the middle name of Motaz Azaiza, Palestinian journalist?",Hilal
"{'topic': 'Science and technology', 'answer_type': 'Other', 'urls': [""https://kayhan.ir/en/news/67653/the-shrimps-heart-is-in-its-head#:~:text=A%20shrimp's%20heart%20is%20located,part%20of%20the%20shrimps%20head."", 'https://americanshrimp.com/shrimp-school-why-shrimp-hearts-are-in-their-heads/', 'https://kayhan.ir/en/news/67653/the-shrimps-heart-is-in-its-head', 'https://quipoquiz.com/en/questions/the-heart-of-the-shrimp-is-located-in-its-tail']}",Where is the heart of a shrimp located?,Head
"{'topic': 'Art', 'answer_type': 'Other', 'urls': ['https://www.viviennewestwood.com/en-us/westwood-world/the-story-so-far/', 'https://www.metmuseum.org/art/collection/search/95531', 'https://www.viviennewestwood.com/westwood-world/the-story-so-far/', 'https://www.sarahaaronson.com/blog/edbit1s1t81rd64ob5bgyj28qsenau']}",What is the name of Vivienne Westwood's Spring/Summer 1982 collection?,Savage
"{'topic': 'Geography', 'answer_type': 'Person', 'urls': ['https://en.wikipedia.org/wiki/Bullard_Mountain', 'https://en.wikipedia.org/wiki/Bullard_Mountain#:~:text=Bullard%20Mountain%20is%20named%20for%20Benjamin%20Bullard%20%281848-1933%29%2C,where%20he%20later%20built%20a%20hydroelectric%20power%20plant.', 'https://edits.nationalmap.gov/apps/gaz-domestic/public/search/names/1399563', 'https://alaska.guide/Mountain/Bullard-Mountain']}",Who was Bullard Mountain named after in the Boundary Ranges in Alaska?,Benjamin Bullard
"{'topic': 'Art', 'answer_type': 'Date', 'urls': ['https://en.wikipedia.org/wiki/Kara_Walker#Recognition', 'https://en.wikipedia.org/wiki/Kara_Walker', 'https://foundation.generali.at/en/collection/kara-walker/', 'https://www.blackqube.de/kara-walker-at-sikkema-jenkins-ny/']}",What year was Kara Walker elected to be an Honorary Royal Academician at the Royal Academy of Arts in London?,2019
"{'topic': 'Science and technology', 'answer_type': 'Person', 'urls': ['https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=6b9c5175b91dc3a6329739c51640bd56dfa6295d (PDF).\n\nhttps://www.sciencedirect.com/science/article/abs/pii/S1087079299900710', 'https://maxmilo.com/en/pages/la-science-au-dessus-du-berceau-references', 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4643535/', 'https://psycnet.apa.org/record/2013-34445-015']}","Who are the two authors who wrote the review paper ""Infant sleep disturbance: Description of a problem behavior process,"" published in Volume 3, Number 4 of Sleep Medicine Reviews in 1999?","France, Karyn G. and Blampied, Neville M."
"{'topic': 'Science and technology', 'answer_type': 'Date', 'urls': ['https://www.moneyhub.co.nz/gaspy-review.html#:~:text=Launched%20in%202016%2C%20Gaspy%20has,to%20save%20money%20on%20fuel.\n\nhttps://www.stuff.co.nz/business/better-business/120632747/fuel-price-app-gaspy-reaches-500000-members', 'https://www.moneyhub.co.nz/gaspy-review.html', 'https://en.wikipedia.org/wiki/Gaspy#:~:text=Gaspy%20was%20started%20in%202016,of%20Hwem%20to%20potential%20clients.', 'https://www.nzherald.co.nz/bay-of-plenty-times/news/tauranga-cheap-fuel-app-reaches-15000-users-after-nationwide-surge/YJ5BSH5HXV2KH2ZYGLXBTVDGMY/']}",What year did the Gaspy app launch in New Zealand?,2016
"{'topic': 'Politics', 'answer_type': 'Date', 'urls': ['https://en.wikipedia.org/wiki/Florence_Farmer', 'https://en.wikipedia.org/wiki/Florence_Farmer', 'https://www.ukbmdcertificateordering.co.uk/certapp.php?type=deaths&data=FARMER%7CFlorence+A%7CStone%7CNewcastle-Under-Lyme%7C1958%7C1958%7C%7CST%3ASTE%2F23C%2F199%7C.%2Fcgi%2Fstaffordshire%2Fdeaths%2F1958%2FF%7C993%7Cstaffordshire%7CNL%7C85&lang=', 'https://www.ancestry.com/genealogy/records/florence-ann-farmer-24-500m6l']}","On what day, month, and year did Florence Farmer, a pioneer of women in politics in Stoke-on-Trent, Staffordshire, England, die?","June 26, 1958"
"{'topic': 'Geography', 'answer_type': 'Date', 'urls': ['https://es.wikipedia.org/wiki/Santa_B%C3%A1rbara_(Antioquia)', 'https://www.santabarbara-antioquia.gov.co/municipio/nuestro-municipio', 'https://es.wikipedia.org/wiki/Santa_B%C3%A1rbara_(Antioquia)', 'https://www.puebliandoporantioquia.com.co/subregion-suroeste/municipio-santa-barbara/']}","In which year was the municipality of Santa Bárbara, Antioquia, Colombia, founded?",1774
"{'topic': 'Sports', 'answer_type': 'Date', 'urls': ['https://en.wikipedia.org/wiki/Fair_Play_(horse)', 'https://en.wikipedia.org/wiki/Fair_Play_(horse)', 'http://www.americanclassicpedigrees.com/fair-play.html', 'https://www.wikiwand.com/en/Fair_Play_(horse)']}","On what day, month, and year was Man O' War's sire born?",1 April 1905
"{'topic': 'Politics', 'answer_type': 'Person', 'urls': ['https://en.wikipedia.org/wiki/Farooq_Abdullah', ""https://en.wikipedia.org/wiki/Farooq_Abdullah#:~:text=Subsequently%2C%20Farooq%20Abdullah%20resigned%20in,the%20state's%20assembly%20was%20dismissed."", 'http://www.uniindia.com/news/states/j-k-had-13-cms-eight-spells-of-governor-s-rule/1266190.html', 'https://en.wikipedia.org/wiki/Exodus_of_Kashmiri_Hindus']}",What was the name of the governor in Kashmir Valley who was appointed after the resignation of Dr. Farooq Abdullah?,Jagmohan.
"{'topic': 'Geography', 'answer_type': 'Date', 'urls': ['https://es.wikipedia.org/wiki/Betulia_(Antioquia)', 'https://www.familysearch.org/en/wiki/Betulia,_Suroeste,_Antioquia,_Colombia_Genealogy', 'https://www.dreamstime.com/betulia-antioquia-colombia-december-immaculate-conception-parish-colombian-catholic-church-located-one-coffee-image304610780?utm_source=schema&utm_medium=googleimages&utm_campaign=image', 'https://www.wikidata.org/wiki/Q426415']}","What year was the municipality of Betulia, Antioquia, Colombia, founded?",1849
"{'topic': 'Art', 'answer_type': 'Person', 'urls': ['https://www.heritagetrust.on.ca/properties/mather-walls-house#:~:text=In%201889%2C%20Mather%20built%20three,as%20the%20Mather%2DWalls%20House.', 'https://www.heritagetrust.on.ca/properties/mather-walls-house#:~:text=Preserved%20by%20the%20Ontario%20Heritage,by%20Winnipeg%20architect%20George%20Browne.', 'https://visitsunsetcountry.com/mather-walls-house', 'https://familylineagesandhistory.blogspot.com/2011/04/conservation-work-completed-at-mather.html']}",What was the name of the architect who designed the Mather-Walls House (built in 1889) in Kenora?,George Browne
"{'topic': 'Politics', 'answer_type': 'Date', 'urls': ['https://en.wikipedia.org/wiki/George_Curzon,_1st_Marquess_Curzon_of_Kedleston', 'https://en.wikipedia.org/wiki/George_Curzon,_1st_Marquess_Curzon_of_Kedleston', 'https://www.britannica.com/biography/Lord-Curzon', 'https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.encyclopedia.com/history/encyclopedias-almanacs-transcripts-and-maps/curzon-george']}","In which year was George Nathaniel Curzon, 1st Marquess Curzon of Kedleston, elected to the House of Lords?",1908
"{'topic': 'TV shows', 'answer_type': 'Number', 'urls': ['https://en.wikipedia.org/wiki/The_Bear_(TV_series)https://the-bear.fandom.com/wiki/Carmen_Berzatto#:~:text=When%20his%20older%20brother%2C%20Mikey,becoming%20the%20best%20chef%20possible.', 'https://www.menshealth.com/entertainment/a61375299/the-bear-season-1-2-recap-what-to-remember/', 'https://en.wikipedia.org/wiki/The_Bear_(TV_series)', 'https://the-bear.fandom.com/wiki/Carmen_Berzatto']}",How many additional dollars did Carmen and Natalie borrow from their uncle Cicero in Season 2 of The Bear?,"$500,000"
"{'topic': 'Art', 'answer_type': 'Date', 'urls': ['https://en.wikipedia.org/wiki/Chiharu_Shiota', 'https://www.chiharu-shiota.com/house-of-windows', 'https://artasiapacific.com/people/essential-works-of-chiharu-shiota', 'https://en.wikipedia.org/wiki/Chiharu_Shiota']}","What year did Chiharu Shiota introduce ""House of Windows""?",2005
"{'topic': 'Politics', 'answer_type': 'Place', 'urls': ['https://en.wikipedia.org/wiki/S._M._Krishna', '""He finished his High School in Sri Ramakrishna Vidyashala, Mysore.""']}","What was the name of the school where S. M. Krishna, an Indian politician, finished his high school education?",Sri Ramakrishna Vidyashala
"{'topic': 'Video games', 'answer_type': 'Number', 'urls': ['http://demonssouls.wikidot.com/spear', 'https://www.ign.com/wikis/demons-souls/Dregling_Merchant', 'http://demonssouls.wikidot.com/dregling-merchant', 'https://demonssouls.wiki.fextralife.com/Dregling+Merchant']}",What is the soul price of the Short Spear sold by the Dregling Merchant in Demon's Souls (2009)?,1500
"{'topic': 'Sports', 'answer_type': 'Place', 'urls': ['https://en.wikipedia.org/wiki/Ange_Postecoglou#Brisbane_Roar', 'https://en.wikipedia.org/wiki/Ange_Postecoglou#:~:text=Angelos%20Postecoglou%20was%20born%20on,a%20suburb%20of%20Athens%2C%20Greece.', 'https://www.premierleague.com/managers/42440/Ange-Postecoglou/overview', 'https://talksport.com/football/1446948/ange-postecoglou-tottenham-background-managerial-career-celtic/']}",What city and country was Ange Postecoglou's place of birth?,"Nea Filadelfeia, Greece."
"{'topic': 'Art', 'answer_type': 'Person', 'urls': ['https://en.wikipedia.org/wiki/Mukul_Dey', 'https://en.wikipedia.org/wiki/Mukul_Dey#:~:text=The%20entire%20family%20of%20Mukul,arts%20and%20crafts%20as%20well.', 'https://contemporaryartsociety.org/artists/mukul-chandra-dey', 'https://www.roseberys.co.uk/a0611-lot-552769-a-hand-written-postcard-from-bengali-artist-mukul-dey-1871-1951-to']}","Give the names of two sisters of Mukul Chandra Dey, a Bengali artist.",Annapura and Rani Chanda
"{'topic': 'Sports', 'answer_type': 'Date', 'urls': ['https://en.wikipedia.org/wiki/David_Sayer_(Leicestershire_cricketer)', 'https://en.wikipedia.org/wiki/David_Sayer_(Leicestershire_cricketer)', 'https://www.espncricinfo.com/cricketers/david-sayer-995155', 'https://www.wikiwand.com/en/David_Sayer_(Leicestershire_cricketer)']}","On what day, month, and year was David William Sayer, an English cricketer, born?",18 October 1997
"{'topic': 'Geography', 'answer_type': 'Date', 'urls': ['https://en.wikipedia.org/wiki/Boavita', 'https://en.wikipedia.org/wiki/Boavita', 'https://ccduitama.org.co/documentos/Observatorio/PLANESDEDESARROLLO/planes_de_Desarrollo_1-_Boavita.pdf', 'https://www.familysearch.org/es/wiki/Boavita,_Norte,_Boyac%C3%A1,_Colombia_-_Genealog%C3%ADa']}","In which year was the municipality of Boavita, Boyacá, Colombia, founded?",1613
"{'topic': 'Science and technology', 'answer_type': 'Number', 'urls': ['https://github.com/facebook/react/blob/main/CHANGELOG.md#040-july-17-2013', 'https://legacy.reactjs.org/blog/2013/07/17/react-v0-4-0.html']}",In which version of React was the switch from using the id attribute to data-reactid to track DOM nodes implemented?,v0.4.0
"{'topic': 'Science and technology', 'answer_type': 'Number', 'urls': ['https://www.researchgate.net/publication/230754283_Multiplication_of_EEG_Samples_through_Replicating_Biasing_and_Overlapping', 'https://www.researchgate.net/publication/230754283_Multiplication_of_EEG_Samples_through_Replicating_Biasing_and_Overlapping', 'https://link.springer.com/chapter/10.1007/978-3-642-35139-6_20']}","In the 2012 research paper titled ""Multiplication of EEG Samples through Replicating, Biasing, and Overlapping"" by Adham Atyabi et al., at what frequency was the EEG dataset sampled, in hertz (Hz)?",250
"{'topic': 'Art', 'answer_type': 'Person', 'urls': ['https://www.nts.org.uk/visit/places/haddo-house', 'https://en.wikipedia.org/wiki/Haddo_House', 'https://www.nts.org.uk/visit/places/haddo-house#:~:text=Admire%20the%20extensive%20art%20collection,acclaimed%20Victorian%20artist%20James%20Giles.', 'https://visithaddo.com/about-haddo/haddo-house/']}","Haddo House, designed by William Adam, contains a collection of 85 paintings by which artist?",James Giles
"{'topic': 'Science and technology', 'answer_type': 'Place', 'urls': ['https://en.wikipedia.org/wiki/Adriano_Garsia', 'https://en.wikipedia.org/wiki/Adriano_Garsia#:~:text=Scientific%20career&text=Born%20to%20Italian%20Tunisians%20in,moved%20to%20Rome%20in%201946.', 'https://alchetron.com/Adriano-Garsia', 'https://peoplepill.com/i/adriano-garsia']}",In what city was the Tunisian-born Italian American mathematician Adriano Mario Garsia born?,Tunis.
